,Rating_sum,smoker,drink_level,dress_preference,ambience,transport,marital_status,hijos,age,interest,personality,religion,activity,budget,alcohol,smoking_area,dress_code,accessibility,price,Rambience,area,other_services
0,6,FALSE,social drinker,formal,family,public,married,dependent,24,technology,thrifty-protector,Catholic,student,medium,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,familiar,closed,none
1,5,FALSE,social drinker,formal,family,public,married,dependent,24,technology,thrifty-protector,Catholic,student,medium,No_Alcohol_Served,none,informal,completely,low,familiar,closed,none
2,6,FALSE,social drinker,formal,family,public,married,dependent,24,technology,thrifty-protector,Catholic,student,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
3,5,FALSE,social drinker,formal,family,public,married,dependent,24,technology,thrifty-protector,Catholic,student,medium,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
4,4,FALSE,casual drinker,informal,friends,public,single,independent,23,technology,thrifty-protector,Catholic,student,low,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
5,0,FALSE,casual drinker,informal,friends,public,single,independent,23,technology,thrifty-protector,Catholic,student,low,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
6,0,FALSE,casual drinker,informal,friends,public,single,independent,23,technology,thrifty-protector,Catholic,student,low,No_Alcohol_Served,none,casual,completely,low,familiar,open,none
7,3,FALSE,abstemious,no preference,family,public,single,independent,24,technology,thrifty-protector,Catholic,student,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
8,5,FALSE,abstemious,no preference,family,public,single,independent,24,technology,thrifty-protector,Catholic,student,medium,No_Alcohol_Served,none,casual,completely,low,familiar,open,none
9,0,FALSE,abstemious,no preference,family,public,single,independent,24,technology,thrifty-protector,Catholic,student,medium,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
10,2,FALSE,abstemious,formal,friends,public,single,independent,22,technology,hard-worker,Catholic,professional,medium,No_Alcohol_Served,none,casual,completely,low,familiar,open,none
11,3,FALSE,abstemious,formal,friends,public,single,independent,22,technology,hard-worker,Catholic,professional,medium,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
12,6,FALSE,abstemious,formal,friends,public,single,independent,22,technology,hard-worker,Catholic,professional,medium,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
13,6,FALSE,abstemious,no preference,friends,car owner,single,independent,22,variety,hard-worker,Catholic,student,high,No_Alcohol_Served,not permitted,informal,completely,low,quiet,closed,none
14,6,TRUE,social drinker,informal,family,car owner,married,dependent,42,variety,thrifty-protector,Catholic,professional,medium,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,closed,none
